NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
BP On The Run Wayville,Peregrine Corporation,51A Goodwood Road,Wayville,South Australia,-34.946564,138.589647
BP On The Run Hyde Park,Peregrine Corporation,17 King William Road,Unley,South Australia,-34.943011,138.600246
BP Linden Park,BP,460 Greenhill Road,Linden Park,South Australia,-34.9390504469999,138.650398445
BP On The Run West Beach,Peregrine Corporation,89 Military Road,West Beach,South Australia,-34.9373219999999,138.501377
BP On The Run Hazelwood Park,Peregrine Corporation,465 Glynburn Road,Hazelwood Park,South Australia,-34.933309,138.659496
BP On The Run Erindale,Peregrine Corporation,372 Kensington Road,Erindale,South Australia,-34.926015,138.663546
BP On The Run Fulham,Peregrine Corporation,510 Henley Beach Road,Fulham,South Australia,-34.925987,138.518015
BP On The Run West Terrace,Peregrine Corporation,41-49 West Terrace,Adelaide,South Australia,-34.9253919999999,138.588158
BP Connect Mile End,BP,95 Henley Beach Road,Mile End,South Australia,-34.924227,138.569387
BP On The Run Norwood,Peregrine Corporation,76 The Parade,Norwood,South Australia,-34.9217419999999,138.630069
BP Mannum,BP,50 Adelaide-Mannum Road,Mannum,South Australia,-34.915039,139.302247
BP Express Magill Road,BP,257 Magill Road,Trinity Gardens,South Australia,-34.9144249999999,138.640828
BP St Peters,BP,1 Harrow Road,St Peters,South Australia,-34.912746,138.624751
BP On The Run Stepney,Peregrine Corporation,90-92 Payneham Road,Stepney,South Australia,-34.910382,138.6275
BP On The Run Flinders Park,Peregrine Corporation,148-150 Grange Road,Flinders Park,South Australia,-34.9048109999999,138.551669
BP On The Run Evandale,Peregrine Corporation,87-91 Portrush Road,Evandale,South Australia,-34.904074,138.639339
BP On The Run Shandon,Peregrine Corporation,356 Tapleys Hill Road,Seaton,South Australia,-34.9020169999999,138.514072
BP Fitzroy,BP,20A Main North Road,Thorngate,South Australia,-34.896405,138.599584
BP Westport,BP,563-567 Port Road,West Croydon,South Australia,-34.893706,138.555491
BP Connect Prospect,BP,68-70 Prospect Road,Prospect,South Australia,-34.890925,138.593911
BP On The Run Croydon,Peregrine Corporation,235-241 South Road,Ridleyton,South Australia,-34.8899989999999,138.570237
BP On The Run Kilkenny,Peregrine Corporation,61A David Terrace,Kilkenny,South Australia,-34.883385,138.549115
BP On The Run Woodville Park,Peregrine Corporation,81-83 David Terrace,Woodville Park,South Australia,-34.881022,138.549657
BP On The Run Woodville West,Peregrine Corporation,938-942 Port Road,Woodville West,South Australia,-34.8773649999999,138.529025
BP On The Run Newton,Peregrine Corporation,72 Gorge Road,Newton,South Australia,-34.8765769999999,138.673757
BP On The Run Athelstone,Peregrine Corporation,310 Gorge Road,Athelstone,South Australia,-34.871752,138.700376
BP On The Run Broadview,Peregrine Corporation,150 Hampstead Road,Broadview,South Australia,-34.8685869999999,138.618515
BP On The Run Hillcrest,Peregrine Corporation,431 North East Road,Hillcrest,South Australia,-34.864765,138.645133
BP On The Run Dernancourt,Peregrine Corporation,819-821 Lower North East Road,Dernancourt,South Australia,-34.8625329999999,138.680769
BP Blair Athol,BP,402 Main North Road,Blair Athol,South Australia,-34.8615119999999,138.600605
BP On The Run Kilburn,Peregrine Corporation,431 Churchill Road,Kilburn,South Australia,-34.859747,138.583522
BP On The Run Alberton,Peregrine Corporation,156 Port Road,Alberton,South Australia,-34.859247,138.513207
BP On The Run Angle Park,Peregrine Corporation,610 South Road,Angle Park,South Australia,-34.8560179999999,138.564294
BP On The Run Roseville,Peregrine Corporation,129 Grand Junction Road,Rosewater,South Australia,-34.8513429999999,138.524771
BP Wingfield Truckstop,BP,541-543 Grand Junction Road,Wingfield,South Australia,-34.8487499999999,138.569875
BP On The Run Holden Hill,Peregrine Corporation,742 North East Road,Holden Hill,South Australia,-34.8462739999999,138.670839
BP Express Modbury,BP,931 North East Road,Modbury,South Australia,-34.834122,138.68197
BP On The Run Cavan,Peregrine Corporation,144 Port Wakefield Road,Cavan,South Australia,-34.830564,138.599315
BP On The Run Pooraka,Peregrine Corporation,122 Bridge Road,Pooraka,South Australia,-34.828321,138.631719
BP Surrey Downs,BP,665 Golden Grove Road,Surrey Downs,South Australia,-34.804927,138.702321
BP Mawson Lakes,BP,603-615 Salisbury Highway,Mawson Lakes,South Australia,-34.801812,138.605616
BP Connect Golden Grove,BP,Lot 1 The Golden Way,Golden Grove,South Australia,-34.793172,138.692105
BP Parafield Gardens,BP,492 Salisbury Highway,Parafield Gardens,South Australia,-34.791253,138.61616
Port Vincent ,Independent Fuel Supplies,14-16 Main Street,Port Vincent,South Australia,-34.7785,137.859691
BP Connect Salisbury,BP,105 Park Terrace,Salisbury,South Australia,-34.7686669999999,138.651079
BP On The Run Parabanks,Peregrine Corporation,106-110 Salisbury Highway,Salisbury,South Australia,-34.7646549999999,138.639838
BP Connect Paralowie,BP,926-936 Port Wakefield Road,Paralowie,South Australia,-34.7624999999999,138.59324
BP Connect Elizabeth Vale,BP,149 Main North Road,Elizabeth Vale,South Australia,-34.741996,138.675667
BP On The Run Phillip Highway,Peregrine Corporation,17 Philip Highway,Elizabeth,South Australia,-34.722371,138.669289
BP On The Run Davoren Park,Peregrine Corporation,41 Peachey Road,Davoren Park,South Australia,-34.697696,138.665636
BP Connect Munno Para,BP,43-45 Main North Road,Smithfield,South Australia,-34.679951,138.695247
BP Blakeview,BP,236 Main North Road,Smithfield,South Australia,-34.670443,138.70173
BP Two Wells,BP,Old Port Wakefield Road,Two Wells,South Australia,-34.609659,138.528797
BP Gawler,BP,22 Murray Street,Gawler,South Australia,-34.6018329999999,138.748956
BP Lagana Bros,BP,24-42 Barossa Valley Way,Lyndoch,South Australia,-34.601254,138.890437
Murray Tractor Importers,BP,75-77 Hoddle Street,Robertson,New South Wales,-34.5893619999999,150.595208
BP Willaston,BP,26 Main North Road,Willaston,South Australia,-34.5885249999999,138.742948
BP 2Go Albion Park,BP,83 Princes Highway,Albion Park,New South Wales,-34.554546,150.79072
Roseworthy Roadhouse,BP,9 Main North Road,Roseworthy,South Australia,-34.532745,138.750289
BP Port Kembla,BP,144-146 Wentworth Street,Port Kembla,New South Wales,-34.4839019999999,150.904968
BP Nuriootpa,BP,5-9 Tanunda Road,Nuriootpa,South Australia,-34.476637,138.995148
BP Dublin,BP,Lot 1 Old Port Wakefield Road,Dublin,South Australia,-34.4524529999999,138.353553
Tom Thumb ,BP,17 Ellen Street,Wollongong,New South Wales,-34.4300509999999,150.892414
